城市,房屋面积,楼层,月租
北京,134.61,1,16000
北京,22,2,1714
北京,55,2,3169.5
北京,25,2,2176
北京,25,2,1828.5
北京,23,2,2044
北京,31,2,1650
北京,31,2,1750
北京,31,2,1750
北京,31,2,1725
北京,37,2,2525
北京,25,2,1736.5
北京,25,2,1632.5
北京,25,2,1698.5
北京,24,2,1782
北京,23,2,1802.5
北京,63.73,3,8760
北京,69.32,3,5160
北京,63.63,3,8360
北京,40.07,2,3200
北京,83,2,3400
北京,51.12,1,6901
北京,66,3,5680
北京,89.62,2,4300
北京,78,1,3500
北京,60,2,7500
北京,56,1,6200
北京,43.55,2,7200
北京,92.9,2,4800
北京,59.64,2,4199
北京,83,2,3400
北京,63,1,7519
北京,89.62,2,4300
北京,78,1,3500
北京,96.77,2,4500
北京,31,2,1750
北京,92.9,2,4800
北京,89,2,4000
北京,61.11,3,4260
北京,80,3,7500
北京,76.97,2,3000
北京,89.94,2,3000
北京,71.48,3,4300
北京,76.23,1,5300
北京,64.12,3,5300
北京,31,2,1725
北京,78.18,2,2800
北京,59,2,5200
北京,40.55,3,3900
北京,90.76,3,3000
北京,52,1,3300
北京,52.74,3,4900
北京,54.73,2,3900
北京,37,2,2525
北京,43.44,1,5000
北京,31,2,1650
北京,31,2,1750
北京,42.75,3,4350
北京,36,2,2250
北京,35,2,3439
北京,58,3,5300
北京,40.55,3,3900
北京,90.76,3,3000
北京,61.11,3,4260
北京,54.73,2,3900
北京,103,3,6500
北京,52.72,3,4500
北京,57,3,6500
北京,62.27,2,7200
北京,95.11,1,13500
北京,52,1,3300
北京,54,1,3100
北京,60,1,2400
北京,138,2,5100
北京,64.06,1,6000
北京,51.3,1,5300
北京,50.35,3,7000
北京,97,2,4800
北京,52.74,3,4900
北京,62,3,3550
北京,73,1,3900
北京,66.59,3,7100
北京,78,3,4300
北京,130,1,8500
北京,90.05,1,6900
北京,48,2,2300
北京,62.96,3,6200
北京,62,1,3600
北京,63,3,6800
北京,75.32,2,1800
北京,103,3,6200
北京,81.68,3,8549
北京,163.03,2,10300
北京,122.43,3,5200
北京,70.9,3,7650
北京,62.01,1,4100
北京,87.19,3,3800
北京,58.74,2,7000
北京,72,2,6900
北京,47,1,4300
北京,50.42,3,4300
北京,42,1,5000
北京,54.87,3,4800
北京,92.15,1,5800
北京,61,3,3000
北京,54.9,2,4900
北京,97.42,3,4200
北京,51.16,1,3500
北京,83,3,3400
北京,55,2,5700
北京,145.82,2,7500
北京,138,2,5100
北京,103,1,4100
北京,63.46,1,5800
北京,48.7,3,2300
北京,65.89,3,5300
北京,63.73,3,8760
北京,54,1,3100
北京,69.32,3,5160
北京,63.63,3,8360
北京,90,2,4800
北京,78.61,3,6800
北京,45.27,2,4300
北京,51,1,5500
北京,55.71,2,3500
北京,60,3,6500
北京,75.37,2,6700
北京,94,2,8000
北京,88,3,4700
北京,63,3,3300
北京,100,1,6300
北京,86.61,1,5000
北京,103,2,3400
北京,330,1,25000
北京,104.75,1,4000
北京,47,3,2600
北京,106,1,4200
北京,63.8,1,7500
北京,92.7,3,3400
北京,59.39,2,2100
北京,89.1,1,3800
北京,92.86,2,3800
北京,50,3,3200
北京,62.19,1,6800
北京,50,2,3300
北京,53.21,2,6800
北京,138,2,21000
北京,131.19,3,9000
北京,278,2,13000
北京,96.5,1,4200
北京,96.5,1,4200
北京,138,2,21000
北京,124,1,15500
北京,53.43,3,3500
北京,98.99,3,4100
北京,85,2,5200
北京,68.58,1,5000
北京,86,3,10500
北京,153,3,14500
北京,61,3,6700
北京,60,2,7500
北京,80,2,5900
北京,51.3,1,5300
北京,97,2,4800
北京,73,1,3900
北京,66.59,3,7100
北京,78,2,7200
北京,89,1,3200
北京,75,3,5200
北京,115,2,10000
北京,66,3,6000
北京,86.03,2,4000
北京,139,3,5500
北京,160,2,6900
北京,76.88,3,6500
北京,63,1,6500
北京,98.86,2,4800
北京,75,2,6800
北京,80,3,7500
北京,125,2,6500
北京,57,3,4800
北京,58.46,1,6500
北京,76.6,2,11990
北京,95.06,3,6500
北京,67.75,1,3790
北京,66.44,2,7390
北京,74.89,3,3000
北京,58,2,4800
北京,107.22,1,5000
北京,41.76,1,7590
北京,60.16,1,6100
北京,144,3,15000
北京,121,3,10000
北京,41.77,2,3650
北京,109.58,2,8500
北京,135.49,2,5500
北京,125.2,3,9205
北京,45,2,4300
北京,106,3,5000
北京,57.73,3,5260
北京,64,2,3500
北京,108,2,7000
北京,119,2,4500
北京,61,3,10317
北京,42,1,3830
北京,40.57,3,6360
北京,90.43,1,7000
北京,87.81,3,5960
北京,57.7,1,9260
北京,130,2,7500
北京,109.17,3,2300
北京,56.7,2,5160
北京,47.93,2,3900
北京,87.5,2,7190
北京,382.1,2,45000
北京,62,3,6200
北京,61,1,6600
北京,52.4,2,8060
北京,35.73,3,2774
北京,75,2,6700
北京,6.42,1,1500
北京,67.55,1,5990
北京,59.61,2,5290
北京,33.24,1,6030
北京,233,1,21000
北京,52.49,2,7460
北京,46,3,5519
北京,43.17,2,7560
北京,120.63,2,6100
北京,27.72,1,2760
北京,84.61,2,7000
北京,77.45,3,2800
北京,56.61,2,5760
北京,138,3,22000
北京,180.3,1,6500
北京,52.57,3,3590
北京,44.99,1,4161
北京,61.57,3,3900
北京,316.4,1,25000
北京,84.89,1,8390
北京,61.82,3,4790
北京,50.9,1,9030
北京,109,1,13300
北京,122.97,3,3600
北京,59,1,5700
北京,80.1,2,5519
北京,42.87,2,5200
北京,60,2,4900
北京,89,2,4500
北京,90.12,2,6800
北京,56.4,2,7730
北京,72.42,1,3000
北京,58.45,1,6290
北京,41.23,1,5000
北京,219.24,1,38900
北京,136.1,3,11000
北京,74.11,3,7090
北京,93,2,5300
北京,65.43,3,6260
北京,71.46,1,7500
北京,290,2,28000
北京,96.88,2,15800
北京,42.98,1,3200
北京,97.04,1,12500
北京,75,1,3690
北京,69.78,2,6900
北京,78.23,2,4500
北京,96,3,2500
北京,191.34,2,19800
北京,81.83,2,3500
北京,116,2,9800
北京,125.31,3,13800
北京,130,3,28000
北京,64.15,2,1400
北京,216.2,2,20960
北京,100.79,3,5500
北京,126.38,3,11300
北京,335.6,1,30000
北京,60.85,3,4400
北京,42.9,2,4950
北京,30,1,5800
北京,151.2,3,10000
北京,37.55,2,4800
北京,142,3,7800
北京,141,1,13500
北京,36,1,7590
北京,190,1,27000
北京,76.1,1,5760
北京,61.9,3,5400
北京,62.21,3,2300
北京,67.34,2,3290
北京,64.35,2,6790
北京,170.03,2,28089
北京,49.55,3,3967
北京,85.7,3,7500
北京,33,1,3100
北京,287.23,2,43000
北京,328.21,1,15000
北京,371,2,45000
北京,71.7,2,5500
北京,450.39,1,29999
北京,124.2,1,5300
北京,368.73,1,20000
北京,42.93,2,6300
北京,48,1,5567
北京,106,2,8000
北京,68.03,2,4390
北京,73.57,2,3700
北京,63,1,3967
北京,41.85,2,7160
北京,55.45,3,6560
北京,52.06,1,7030
北京,207,2,11800
北京,40.77,2,7760
北京,72.4,3,6200
北京,64,3,8330
北京,132.35,2,9000
北京,170.55,1,14200
北京,72.5,2,3700
北京,299.19,1,40000
北京,50,3,6690
北京,67.4,3,7200
北京,50.01,2,7130
北京,51.71,2,6490
北京,71.64,2,6930
北京,74.97,3,3000
北京,43.22,3,6000
北京,115.89,3,4800
北京,189,2,24000
北京,112,2,19000
北京,50,2,5500
北京,57.2,3,5630
北京,79,3,1800
北京,45.73,1,6390
北京,66.2,1,5590
北京,87,3,3300
北京,85.61,1,8330
北京,147,3,9900
北京,145,3,13600
北京,55.06,3,5930
北京,43.48,2,4360
北京,59.61,3,9000
北京,60.65,3,4841
北京,170,3,27000
北京,56.99,3,5000
北京,80,1,6500
北京,192.78,1,13500
北京,66.02,1,2500
北京,60.56,2,6200
北京,425,1,65000
北京,82,3,6500
北京,55,3,4200
北京,58,3,6500
北京,155,2,36000
北京,55,2,6500
北京,26.41,3,5590
北京,71.5,1,1800
北京,126,3,6500
北京,40.25,1,4790
北京,65.83,2,7790
北京,232.86,1,50000
北京,90,2,7800
北京,222,3,22000
北京,84,3,5200
北京,56,1,5472
北京,45.08,1,4500
北京,66.84,3,7790
北京,76.14,2,2300
北京,104,3,6200
北京,96,1,5900
北京,60.29,1,5500
北京,65.15,2,7800
北京,115.33,1,7190
北京,46.5,1,5730
北京,131.06,2,7500
北京,82,1,7760
北京,90.3,2,9690
北京,135.68,1,25000
北京,56.4,2,9200
北京,50,3,5330
北京,57.34,2,6590
北京,61.24,2,2200
北京,63,3,5595
北京,98,2,5400
北京,55.6,3,3760
北京,54.4,2,6190
北京,62,3,4800
北京,150.57,3,16500
北京,94.72,1,4600
北京,41,3,7830
北京,87,2,6300
北京,142,1,8500
北京,12.5,1,2500
北京,57.92,2,6760
北京,175.88,2,15500
北京,63.06,1,8100
北京,54.34,3,8660
北京,66.23,3,7300
北京,150,1,16500
北京,47.9,1,7490
北京,54.43,1,5460
北京,271.47,3,35000
北京,84,1,9000
北京,65.12,3,3700
北京,55.31,3,5730
北京,43.46,1,7730
北京,55,3,6000
北京,34.17,3,2500
北京,135.08,2,25000
北京,56,1,3970
北京,63.15,1,2700
北京,71.88,3,3500
北京,60,3,6200
北京,99,2,7890
北京,55.1,2,6160
北京,69,1,5800
北京,71,1,4700
北京,96.98,3,6800
北京,92,3,7139
北京,66.5,3,4600
北京,160.54,1,10000
北京,95.1,1,13500
北京,95.25,3,1400
北京,167.74,2,18000
北京,64.43,3,5200
北京,44.13,1,6000
北京,188.91,1,20000
北京,42.62,2,4200
北京,112.27,1,6000
北京,140,2,5000
北京,48.49,2,4300
北京,59.92,3,6500
北京,140,3,13980
北京,70.57,2,2800
北京,163.73,3,19000
北京,29.91,2,5590
北京,68.89,3,7330
北京,98,2,6500
